Year,State_ID,State,Capacidad instalada de las plantas potabilizadoras en operaciÃ³n (litros por segundo) a/,Capacidad total de almacenamiento de las presas (millones de metros cÃºbicos) b/,Capacidad Ãºtil de almacenamiento de las presas (millones de metros cÃºbicos) b/,CrÃ©ditos en programas de vivienda,Fuentes de abastecimiento de agua a/,InversiÃ³n ejercida en programas de vivienda (miles de pesos),Jardines vecinales a/,Localidades con el servicio de drenaje y alcantarillado a/,Localidades con el servicio de energÃ­a elÃ©ctrica a/,Localidades con red de distribuciÃ³n de agua entubada a/,Parques de juegos infantiles a/,Plantas potabilizadoras de agua en operaciÃ³n a/,Sistemas de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Tomas domiciliarias de agua entubada a/,Tomas instaladas de energÃ­a elÃ©ctrica a/,Volumen anual utilizado de agua de las presas (millones de metros cÃºbicos) c/,Volumen suministrado anual de agua potable (millones de metros cÃºbicos) b/
1997,32,Zacatecas,ND,753,605,12986.0,1000,127621.0,ND,390,3674,1060,ND,ND,917,361,257883,353030,312,ND
1998,01,Aguascalientes,ND,458,438,8377.0,411,418893.0,84,308,1338,348,16,ND,257,308,187596,234131,142,ND
1998,02,Baja California,ND,188,135,10090.0,379,1048933.0,ND,ND,3009,29,ND,ND,29,ND,550219,670893,94,ND
1998,03,Baja California Sur,ND,35,26,1900.0,187,215928.0,ND,17,1314,112,29,ND,102,12,101050,110251,21,ND
1998,04,Campeche,ND,0,0,10308.0,524,116414.0,114,17,279,300,202,ND,293,17,121755,151357,0,ND
1998,05,Coahuila de Zaragoza,ND,8652,5262,9297.0,314,973167.0,ND,29,406,ND,ND,ND,37,29,508006,379411,783,ND
1998,06,Colima,0,0,0,3940.0,307,228178.0,155,67,ND,208,59,0,208,67,143667,ND,92,0
1998,07,Chiapas,ND,36835,23138,3075.0,6697,199087.0,71,296,3407,3108,18,ND,3108,296,414093,662412,44939,ND
1998,08,Chihuahua,ND,4507,1304,21833.0,422,1463092.0,206,180,1128,938,46,ND,862,180,671598,759084,2070,ND
1998,09,Ciudad de MÃ©xico,2921,2,ND,27870.0,363,4152675.0,606,ND,ND,ND,546,26,ND,ND,1697100,2374869,ND,57
1998,10,Durango,ND,4590,4005,8023.0,3620,278868.0,245,1212,1024,2088,40,ND,43,1212,330325,339350,622,ND
1998,11,Guanajuato,ND,ND,ND,11347.0,486,898687.0,ND,ND,6926,ND,ND,ND,46,ND,623359,1034796,ND,ND
1998,12,Guerrero,ND,ND,481,2801.0,ND,288554.0,ND,140,ND,ND,126,ND,1664,140,254401,ND,ND,ND
1998,13,Hidalgo,ND,310,258,13518.0,809,504052.0,32,522,1405,1503,30,ND,649,522,358924,469028,537,ND
1998,14,Jalisco,ND,10173,ND,12258.0,1218,1433717.0,ND,ND,1541,67,ND,ND,64,ND,1086006,1398812,ND,ND
1998,15,MÃ©xico,ND,1331,837,102334.0,172,3576436.0,ND,ND,ND,ND,ND,ND,ND,ND,1639607,2421744,1000,ND
1998,16,MichoacÃ¡n de Ocampo,ND,15205,11672,5273.0,2269,621262.0,56,ND,ND,ND,13,ND,1,ND,124514,938304,29298,ND
1998,17,Morelos,ND,54,47,2684.0,ND,260759.0,344,ND,ND,ND,146,ND,ND,ND,ND,103398,ND,ND
1998,18,Nayarit,ND,5585,2607,2081.0,1762,243538.0,307,66,569,33,42,ND,22,66,138148,245889,5984,ND
1998,19,Nuevo LeÃ³n,ND,2363,1533,11105.0,544,1369950.0,ND,ND,923,ND,ND,ND,ND,ND,807312,943380,ND,ND
1998,20,Oaxaca,ND,15010,10977,3064.0,1856,262374.0,43,ND,4164,1741,29,ND,1741,212,470078,734341,8026,ND
1998,21,Puebla,ND,481,366,6198.0,2889,588176.0,215,800,ND,1792,116,ND,1821,811,733896,848051,1438,ND
1998,22,QuerÃ©taro,ND,ND,ND,17471.0,234,669076.0,ND,206,1492,432,ND,ND,152,206,216870,ND,ND,ND
1998,23,Quintana Roo,ND,0,0,18101.0,630,442337.0,199,6,ND,277,104,ND,251,6,146828,192840,0,ND
1998,24,San Luis PotosÃ­,ND,268,180,5876.0,224,555746.0,ND,ND,ND,ND,ND,ND,ND,ND,345138,503020,123,ND
1998,25,Sinaloa,ND,22079,14786,7887.0,1222,735247.0,94,183,4305,1445,100,ND,1049,183,539251,602377,9121,ND
1998,26,Sonora,ND,10375,7561,8583.0,893,890353.0,ND,96,5377,697,ND,ND,697,96,496784,528554,ND,ND
1998,27,Tabasco,ND,0,0,8167.0,505,346350.0,169,129,494,883,83,ND,471,129,282386,381649,0,ND
1998,28,Tamaulipas,ND,7464,7081,46170.0,723,963585.0,156,ND,ND,ND,62,ND,ND,ND,ND,640614,ND,ND
1998,29,Tlaxcala,0,78,45,1231.0,432,144264.0,ND,494,380,752,ND,0,318,ND,ND,185799,15,0
1998,30,Veracruz de Ignacio de la Llave,ND,878,608,10420.0,35574,919304.0,ND,315,4296,1872,ND,ND,1553,316,874630,1444708,1002,ND
1998,31,YucatÃ¡n,ND,0,0,15026.0,683,541237.0,ND,3,1408,563,ND,ND,563,10,328232,439930,0,ND
1998,32,Zacatecas,ND,753,605,14661.0,1006,169282.0,ND,411,3677,1102,ND,ND,983,400,275114,372691,242,ND
1999,01,Aguascalientes,ND,458,438,12712.0,427,649072.0,192,291,1342,352,48,ND,248,291,193901,246017,142,ND
1999,02,Baja California,ND,188,135,13838.0,437,1647024.0,ND,ND,3010,234,ND,ND,243,ND,562152,697803,94,ND
1999,03,Baja California Sur,ND,35,26,2921.0,188,346179.0,32,17,1321,113,96,ND,112,14,107238,119961,8,ND
1999,04,Campeche,ND,0,0,4687.0,542,179624.0,112,23,271,314,169,ND,305,23,128225,117603,0,ND
1999,05,Coahuila de Zaragoza,ND,8652,5262,11608.0,318,1643531.0,ND,29,406,221,ND,ND,37,29,526009,391408,174,ND
1999,06,Colima,0,0,0,3744.0,309,398987.0,154,69,ND,209,86,0,209,69,148968,156859,92,0
1999,07,Chiapas,ND,36835,23138,28501.0,17578,892633.0,108,346,2271,3123,233,ND,3123,346,414093,516253,49170,ND
1999,08,Chihuahua,ND,2087,1844,24608.0,9655,2173019.0,ND,187,1219,943,ND,ND,866,186,699516,787936,1206,ND
1999,09,Ciudad de MÃ©xico,3261,3,ND,37552.0,419,5369543.0,719,ND,ND,ND,501,32,ND,ND,1079989,2357062,ND,66
1999,10,Durango,ND,4590,4005,6082.0,6131,580544.0,151,1212,1043,2105,24,ND,47,1212,348530,350421,799,ND
1999,11,Guanajuato,ND,1857,1098,18526.0,503,1774524.0,ND,205,6953,203,ND,ND,ND,ND,641821,1100292,980,ND
1999,12,Guerrero,ND,ND,3318,3305.0,7592,440275.0,ND,160,ND,ND,ND,ND,1802,160,273517,ND,ND,ND
1999,13,Hidalgo,ND,1743,1441,7975.0,809,1146673.0,32,522,1630,1503,30,ND,649,522,325723,498809,1355,ND
1999,14,Jalisco,ND,ND,13088,18859.0,1568,2430763.0,ND,65,1521,65,ND,ND,65,65,1185716,1460901,ND,ND
1999,15,MÃ©xico,ND,1331,837,102334.0,177,3576436.0,ND,ND,ND,ND,ND,ND,ND,ND,1700931,2505410,1000,ND
1999,16,MichoacÃ¡n de Ocampo,ND,ND,ND,6186.0,2486,837108.0,ND,16,ND,16,ND,ND,1,16,133133,979064,ND,ND
1999,17,Morelos,ND,ND,ND,4438.0,ND,590904.0,344,ND,ND,ND,146,ND,ND,ND,ND,ND,ND,ND
1999,18,Nayarit,ND,5585,2607,3066.0,1864,414169.0,ND,67,580,39,ND,ND,28,67,147733,258732,ND,ND
