Year,State_ID,State,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Tasa de personas con sentencia condenatoria b/,Tasa de personas con sentencia condenatoria del fuero comÃºn d/,Tasa de personas con sentencia condenatoria del fuero federal c/
1999,20,Oaxaca,4942.0,1030.0,3333.0,821.0,91.9,91.5,93.4
1999,21,Puebla,4276.0,595.0,3952.0,542.0,87.9,86.9,95.0
1999,22,QuerÃ©taro,2972.0,246.0,2392.0,242.0,87.0,86.0,96.7
1999,23,Quintana Roo,1556.0,321.0,674.0,165.0,89.9,89.5,91.5
1999,24,San Luis PotosÃ­,3778.0,698.0,2290.0,658.0,81.6,77.1,97.3
1999,25,Sinaloa,4600.0,2057.0,3407.0,1844.0,84.6,81.6,90.1
1999,26,Sonora,6716.0,2451.0,5636.0,1789.0,92.3,92.1,92.8
1999,27,Tabasco,4048.0,477.0,3032.0,362.0,88.1,87.1,96.7
1999,28,Tamaulipas,7158.0,1656.0,7503.0,1408.0,85.3,84.0,92.3
1999,29,Tlaxcala,1576.0,168.0,821.0,188.0,89.0,87.7,94.7
1999,30,Veracruz de Ignacio de la Llave,11565.0,1069.0,7283.0,809.0,90.0,89.6,93.8
1999,31,YucatÃ¡n,2983.0,236.0,2548.0,189.0,76.0,74.9,90.5
1999,32,Zacatecas,1832.0,337.0,1490.0,314.0,90.6,89.8,94.6
1999,33,Extranjero,0.0,22.0,0.0,20.0,95.0,0.0,95.0
1999,99,No especificada,333.0,44.0,333.0,38.0,51.8,49.2,73.7
2000,01,Aguascalientes,1648.0,193.0,1285.0,134.0,88.4,88.6,86.6
2000,02,Baja California,7232.0,2958.0,7460.0,2248.0,94.1,94.7,92.1
2000,03,Baja California Sur,1275.0,181.0,885.0,168.0,83.2,81.5,92.3
2000,04,Campeche,1249.0,324.0,1024.0,205.0,78.2,75.3,92.7
2000,05,Coahuila de Zaragoza,4307.0,723.0,2572.0,624.0,89.3,87.8,95.5
2000,06,Colima,1609.0,297.0,1212.0,300.0,91.4,90.7,94.3
2000,07,Chiapas,4627.0,759.0,4335.0,730.0,83.2,82.0,90.5
2000,08,Chihuahua,7705.0,1866.0,4914.0,1683.0,90.6,89.7,93.4
2000,09,Ciudad de MÃ©xico,17591.0,2300.0,14862.0,1474.0,89.2,89.6,85.4
2000,10,Durango,1661.0,753.0,1174.0,589.0,89.2,87.8,92.0
2000,11,Guanajuato,4437.0,1118.0,3726.0,905.0,91.8,90.7,96.5
2000,12,Guerrero,3536.0,754.0,1595.0,587.0,74.4,67.6,92.8
2000,13,Hidalgo,1855.0,251.0,943.0,189.0,79.1,75.8,95.2
2000,14,Jalisco,7318.0,1486.0,5104.0,1396.0,84.1,82.5,89.6
2000,15,MÃ©xico,11325.0,1066.0,7792.0,803.0,72.2,70.4,89.7
2000,16,MichoacÃ¡n de Ocampo,7551.0,931.0,7301.0,1022.0,86.3,85.3,93.3
2000,17,Morelos,1903.0,503.0,1389.0,506.0,74.3,66.4,96.0
2000,18,Nayarit,2293.0,570.0,1938.0,520.0,90.9,90.5,92.5
2000,19,Nuevo LeÃ³n,5398.0,1024.0,2903.0,724.0,86.7,85.4,92.0
2000,20,Oaxaca,4694.0,869.0,3089.0,771.0,90.6,89.8,94.0
2000,21,Puebla,4566.0,641.0,3309.0,561.0,90.9,89.9,96.6
2000,22,QuerÃ©taro,2854.0,225.0,2154.0,204.0,89.7,89.0,96.6
2000,23,Quintana Roo,1908.0,283.0,853.0,264.0,89.3,88.9,90.5
2000,24,San Luis PotosÃ­,5351.0,626.0,2725.0,519.0,76.2,72.9,93.6
2000,25,Sinaloa,5082.0,1413.0,3527.0,1290.0,86.2,84.7,90.5
2000,26,Sonora,6690.0,2465.0,5854.0,1874.0,92.4,92.0,93.9
2000,27,Tabasco,3892.0,434.0,3352.0,348.0,86.3,85.2,96.3
2000,28,Tamaulipas,7547.0,1737.0,8119.0,1476.0,85.5,83.9,94.0
2000,29,Tlaxcala,1618.0,95.0,1053.0,90.0,86.6,86.1,92.2
2000,30,Veracruz de Ignacio de la Llave,12044.0,1053.0,7805.0,886.0,88.4,88.4,88.3
2000,31,YucatÃ¡n,2421.0,172.0,1971.0,130.0,73.1,72.2,86.2
2000,32,Zacatecas,1963.0,338.0,1596.0,269.0,90.0,90.0,90.3
2000,33,Extranjero,0.0,18.0,0.0,18.0,94.4,0.0,94.4
2000,99,No especificada,329.0,72.0,360.0,37.0,44.1,40.6,78.4
2001,01,Aguascalientes,1969.0,189.0,1506.0,160.0,87.3,87.3,87.5
2001,02,Baja California,8208.0,2973.0,7810.0,2307.0,93.2,94.8,88.0
2001,03,Baja California Sur,1353.0,221.0,973.0,172.0,75.7,72.6,93.6
2001,04,Campeche,1471.0,375.0,854.0,239.0,75.8,72.8,86.2
2001,05,Coahuila de Zaragoza,4187.0,785.0,2414.0,650.0,89.5,87.8,96.0
2001,06,Colima,1889.0,247.0,1358.0,225.0,90.3,90.4,90.2
2001,07,Chiapas,4827.0,672.0,4305.0,662.0,85.4,84.5,90.8
2001,08,Chihuahua,8244.0,1989.0,5070.0,1773.0,91.6,90.5,94.8
2001,09,Ciudad de MÃ©xico,17719.0,1533.0,15521.0,1320.0,90.3,90.7,86.4
2001,10,Durango,1821.0,712.0,1471.0,581.0,90.0,88.1,94.7
2001,11,Guanajuato,5068.0,1225.0,3939.0,1323.0,92.0,91.4,93.7
2001,12,Guerrero,3784.0,752.0,1670.0,743.0,73.5,65.9,90.7
2001,13,Hidalgo,1862.0,298.0,1144.0,265.0,79.7,76.5,93.6
2001,14,Jalisco,8981.0,1827.0,5213.0,1447.0,82.9,81.1,89.5
2001,15,MÃ©xico,11948.0,1010.0,8264.0,853.0,70.3,68.1,91.4
2001,16,MichoacÃ¡n de Ocampo,7023.0,1048.0,7539.0,1342.0,86.9,86.7,88.0
2001,17,Morelos,1984.0,609.0,1519.0,590.0,78.4,71.0,97.3
2001,18,Nayarit,2620.0,447.0,2060.0,399.0,90.0,90.1,89.5
2001,19,Nuevo LeÃ³n,5526.0,889.0,3361.0,673.0,87.3,85.8,94.9
2001,20,Oaxaca,5198.0,973.0,3338.0,739.0,90.1,89.2,94.3
2001,21,Puebla,4946.0,681.0,4163.0,578.0,89.8,89.1,94.5
2001,22,QuerÃ©taro,3573.0,266.0,2477.0,176.0,87.4,87.1,92.0
2001,23,Quintana Roo,2765.0,318.0,1095.0,203.0,90.2,89.6,93.6
2001,24,San Luis PotosÃ­,5195.0,642.0,3296.0,472.0,80.3,78.5,92.4
2001,25,Sinaloa,5221.0,1367.0,3998.0,1166.0,84.6,83.6,87.9
2001,26,Sonora,7130.0,2685.0,5826.0,2229.0,91.3,91.7,90.3
2001,27,Tabasco,3483.0,452.0,3059.0,380.0,82.2,80.8,93.2
2001,28,Tamaulipas,7430.0,1485.0,6736.0,1432.0,88.8,88.3,91.3
2001,29,Tlaxcala,1487.0,171.0,1010.0,159.0,86.1,84.7,95.0
2001,30,Veracruz de Ignacio de la Llave,12254.0,1076.0,8026.0,834.0,89.2,89.0,91.2
2001,31,YucatÃ¡n,2417.0,246.0,2022.0,158.0,71.4,70.3,85.4
2001,32,Zacatecas,2088.0,390.0,1782.0,439.0,89.2,87.5,96.1
2001,33,Extranjero,3.0,20.0,0.0,12.0,83.3,0.0,83.3
2001,99,No especificada,321.0,46.0,252.0,41.0,60.8,57.5,80.5
2002,01,Aguascalientes,2350.0,232.0,1825.0,167.0,89.0,89.1,87.4
2002,02,Baja California,9962.0,3125.0,8132.0,2492.0,93.0,94.8,87.1
2002,03,Baja California Sur,1491.0,423.0,971.0,258.0,76.9,73.1,91.1
2002,04,Campeche,1332.0,308.0,846.0,288.0,76.8,73.5,86.5
2002,05,Coahuila de Zaragoza,3579.0,724.0,2604.0,653.0,86.2,84.6,92.5
2002,06,Colima,2022.0,315.0,1375.0,230.0,89.0,88.2,93.9
2002,07,Chiapas,5023.0,906.0,4217.0,682.0,83.9,82.2,94.6
2002,08,Chihuahua,7940.0,2148.0,5114.0,1767.0,90.8,90.0,93.2
2002,09,Ciudad de MÃ©xico,18012.0,2158.0,14920.0,1980.0,91.3,92.1,85.3
2002,10,Durango,1721.0,706.0,1450.0,601.0,91.1,89.4,95.0
2002,11,Guanajuato,5710.0,1249.0,4208.0,1138.0,91.9,91.5,93.1
2002,12,Guerrero,3569.0,785.0,1705.0,742.0,78.3,72.7,91.1
2002,13,Hidalgo,1992.0,317.0,1188.0,267.0,82.5,80.9,89.9
2002,14,Jalisco,9279.0,1982.0,6112.0,1788.0,84.7,82.4,92.6
2002,15,MÃ©xico,12315.0,1182.0,9057.0,931.0,72.6,70.6,91.8
2002,16,MichoacÃ¡n de Ocampo,7230.0,1118.0,7236.0,1154.0,86.4,86.2,87.6
2002,17,Morelos,2348.0,642.0,1489.0,594.0,79.2,72.5,96.0
2002,18,Nayarit,2627.0,528.0,2186.0,491.0,92.4,91.9,94.7
2002,19,Nuevo LeÃ³n,6037.0,832.0,3866.0,720.0,85.8,85.5,87.5
2002,20,Oaxaca,5737.0,872.0,3475.0,620.0,90.5,89.9,93.4
2002,21,Puebla,5364.0,667.0,4309.0,683.0,90.3,90.1,91.5
2002,22,QuerÃ©taro,4893.0,403.0,2731.0,354.0,89.8,89.1,95.5
2002,23,Quintana Roo,2723.0,374.0,1048.0,241.0,89.1,88.3,92.5
2002,24,San Luis PotosÃ­,4789.0,586.0,3630.0,433.0,83.9,82.5,95.4
2002,25,Sinaloa,5132.0,1372.0,4270.0,1164.0,83.2,80.1,94.8
