Year,State_ID,State,Total
2012,22,QuerÃ©taro,703.0
2012,23,Quintana Roo,136.0
2012,24,San Luis PotosÃ­,212.0
2012,25,Sinaloa,83.0
2012,26,Sonora,311.0
2012,27,Tabasco,118.0
2012,28,Tamaulipas,91.0
2012,29,Tlaxcala,135.0
2012,30,Veracruz de Ignacio de la Llave,609.0
2012,31,YucatÃ¡n,72.0
2012,32,Zacatecas,27.0
2013,01,Aguascalientes,44.0
2013,02,Baja California,3602.0
2013,03,Baja California Sur,83.0
2013,04,Campeche,20.0
2013,05,Coahuila de Zaragoza,187.0
2013,06,Colima,109.0
2013,07,Chiapas,129.0
2013,08,Chihuahua,38.0
2013,09,Ciudad de MÃ©xico,1284.0
2013,10,Durango,390.0
2013,11,Guanajuato,107.0
2013,12,Guerrero,194.0
2013,13,Hidalgo,322.0
2013,14,Jalisco,3370.0
2013,15,MÃ©xico,3889.0
2013,16,MichoacÃ¡n de Ocampo,243.0
2013,17,Morelos,758.0
2013,18,Nayarit,81.0
2013,19,Nuevo LeÃ³n,2415.0
2013,20,Oaxaca,1216.0
2013,21,Puebla,1991.0
2013,22,QuerÃ©taro,677.0
2013,23,Quintana Roo,113.0
2013,24,San Luis PotosÃ­,194.0
2013,25,Sinaloa,117.0
2013,26,Sonora,400.0
2013,27,Tabasco,138.0
2013,28,Tamaulipas,66.0
2013,29,Tlaxcala,93.0
2013,30,Veracruz de Ignacio de la Llave,581.0
2013,31,YucatÃ¡n,98.0
2013,32,Zacatecas,20.0
2014,01,Aguascalientes,42.0
2014,02,Baja California,3322.0
2014,03,Baja California Sur,155.0
2014,04,Campeche,19.0
2014,05,Coahuila de Zaragoza,219.0
2014,06,Colima,128.0
2014,07,Chiapas,306.0
2014,08,Chihuahua,62.0
2014,09,Ciudad de MÃ©xico,1581.0
2014,10,Durango,411.0
2014,11,Guanajuato,135.0
2014,12,Guerrero,258.0
2014,13,Hidalgo,276.0
2014,14,Jalisco,3122.0
2014,15,MÃ©xico,4345.0
2014,16,MichoacÃ¡n de Ocampo,292.0
2014,17,Morelos,666.0
2014,18,Nayarit,108.0
2014,19,Nuevo LeÃ³n,581.0
2014,20,Oaxaca,1262.0
2014,21,Puebla,2101.0
2014,22,QuerÃ©taro,643.0
2014,23,Quintana Roo,183.0
2014,24,San Luis PotosÃ­,156.0
2014,25,Sinaloa,89.0
2014,26,Sonora,848.0
2014,27,Tabasco,126.0
2014,28,Tamaulipas,79.0
2014,29,Tlaxcala,124.0
2014,30,Veracruz de Ignacio de la Llave,480.0
2014,31,YucatÃ¡n,89.0
2014,32,Zacatecas,20.0
2015,01,Aguascalientes,36.0
2015,02,Baja California,2548.0
2015,03,Baja California Sur,189.0
2015,04,Campeche,15.0
2015,05,Coahuila de Zaragoza,218.0
2015,06,Colima,95.0
2015,07,Chiapas,372.0
2015,08,Chihuahua,46.0
2015,09,Ciudad de MÃ©xico,1565.0
2015,10,Durango,387.0
2015,11,Guanajuato,143.0
2015,12,Guerrero,262.0
2015,13,Hidalgo,281.0
2015,14,Jalisco,2540.0
2015,15,MÃ©xico,4184.0
2015,16,MichoacÃ¡n de Ocampo,234.0
2015,17,Morelos,892.0
2015,18,Nayarit,84.0
2015,19,Nuevo LeÃ³n,858.0
2015,20,Oaxaca,1333.0
2015,21,Puebla,1697.0
2015,22,QuerÃ©taro,658.0
2015,23,Quintana Roo,77.0
2015,24,San Luis PotosÃ­,146.0
2015,25,Sinaloa,96.0
2015,26,Sonora,1017.0
2015,27,Tabasco,117.0
2015,28,Tamaulipas,13.0
2015,29,Tlaxcala,84.0
2015,30,Veracruz de Ignacio de la Llave,437.0
2015,31,YucatÃ¡n,136.0
2015,32,Zacatecas,21.0
