Year,State,State_ID,Crime_type,Total
1998,COLIMA,6,Highway Thief,0
1998,COLIMA,6,Banking Thief,6
1998,DURANGO,10,Household Crimes,2499
1998,DURANGO,10,Rape,100
1998,DURANGO,10,Homicides,191
1998,DURANGO,10,Injuries,2024
1998,DURANGO,10,Other Crimes,2624
1998,DURANGO,10,Kidnap,6
1998,DURANGO,10,Common Thief,3563
1998,DURANGO,10,Cattle Thief,0
1998,DURANGO,10,Highway Thief,0
1998,DURANGO,10,Banking Thief,0
1998,GUANAJUATO,11,Household Crimes,6103
1998,GUANAJUATO,11,Rape,190
1998,GUANAJUATO,11,Homicides,944
1998,GUANAJUATO,11,Injuries,8451
1998,GUANAJUATO,11,Other Crimes,1922
1998,GUANAJUATO,11,Kidnap,20
1998,GUANAJUATO,11,Common Thief,16444
1998,GUANAJUATO,11,Cattle Thief,0
1998,GUANAJUATO,11,Highway Thief,0
1998,GUANAJUATO,11,Banking Thief,23
1998,GUERRERO,12,Household Crimes,3414
1998,GUERRERO,12,Rape,430
1998,GUERRERO,12,Homicides,1782
1998,GUERRERO,12,Injuries,3969
1998,GUERRERO,12,Other Crimes,9382
1998,GUERRERO,12,Kidnap,45
1998,GUERRERO,12,Common Thief,8510
1998,GUERRERO,12,Cattle Thief,0
1998,GUERRERO,12,Highway Thief,0
1998,GUERRERO,12,Banking Thief,0
1998,HIDALGO,13,Household Crimes,3111
1998,HIDALGO,13,Rape,273
1998,HIDALGO,13,Homicides,540
1998,HIDALGO,13,Injuries,4239
1998,HIDALGO,13,Other Crimes,5063
1998,HIDALGO,13,Kidnap,7
1998,HIDALGO,13,Common Thief,5135
1998,HIDALGO,13,Cattle Thief,0
1998,HIDALGO,13,Highway Thief,0
1998,HIDALGO,13,Banking Thief,3
1998,JALISCO,14,Household Crimes,9007
1998,JALISCO,14,Rape,603
1998,JALISCO,14,Homicides,3331
1998,JALISCO,14,Injuries,13750
1998,JALISCO,14,Other Crimes,19140
1998,JALISCO,14,Kidnap,99
1998,JALISCO,14,Common Thief,35733
1998,JALISCO,14,Cattle Thief,0
1998,JALISCO,14,Highway Thief,0
1998,JALISCO,14,Banking Thief,38
1998,MEXICO,15,Household Crimes,13481
1998,MEXICO,15,Rape,1890
1998,MEXICO,15,Homicides,6260
1998,MEXICO,15,Injuries,34619
1998,MEXICO,15,Other Crimes,10838
1998,MEXICO,15,Kidnap,25
1998,MEXICO,15,Common Thief,87093
1998,MEXICO,15,Cattle Thief,0
1998,MEXICO,15,Highway Thief,0
1998,MEXICO,15,Banking Thief,19
1998,MICHOACAN,16,Household Crimes,5387
1998,MICHOACAN,16,Rape,334
1998,MICHOACAN,16,Homicides,2670
1998,MICHOACAN,16,Injuries,5486
1998,MICHOACAN,16,Other Crimes,10639
1998,MICHOACAN,16,Kidnap,77
1998,MICHOACAN,16,Common Thief,10861
1998,MICHOACAN,16,Cattle Thief,0
1998,MICHOACAN,16,Highway Thief,0
1998,MICHOACAN,16,Banking Thief,6
1998,MORELOS,17,Household Crimes,3139
1998,MORELOS,17,Rape,170
1998,MORELOS,17,Homicides,520
1998,MORELOS,17,Injuries,3751
1998,MORELOS,17,Other Crimes,8569
1998,MORELOS,17,Kidnap,7
1998,MORELOS,17,Common Thief,8087
1998,MORELOS,17,Cattle Thief,0
1998,MORELOS,17,Highway Thief,0
1998,MORELOS,17,Banking Thief,11
1998,NAYARIT,18,Household Crimes,554
1998,NAYARIT,18,Rape,88
1998,NAYARIT,18,Homicides,425
1998,NAYARIT,18,Injuries,1385
1998,NAYARIT,18,Other Crimes,2282
1998,NAYARIT,18,Kidnap,3
1998,NAYARIT,18,Common Thief,3016
1998,NAYARIT,18,Cattle Thief,0
1998,NAYARIT,18,Highway Thief,0
1998,NAYARIT,18,Banking Thief,9
1998,NUEVO LEON,19,Household Crimes,7768
1998,NUEVO LEON,19,Rape,221
1998,NUEVO LEON,19,Homicides,160
1998,NUEVO LEON,19,Injuries,7928
1998,NUEVO LEON,19,Other Crimes,8293
1998,NUEVO LEON,19,Kidnap,15
1998,NUEVO LEON,19,Common Thief,7434
1998,NUEVO LEON,19,Cattle Thief,0
1998,NUEVO LEON,19,Highway Thief,0
1998,NUEVO LEON,19,Banking Thief,9
1998,OAXACA,20,Household Crimes,3431
1998,OAXACA,20,Rape,316
1998,OAXACA,20,Homicides,1171
1998,OAXACA,20,Injuries,4467
1998,OAXACA,20,Other Crimes,10440
1998,OAXACA,20,Kidnap,54
1998,OAXACA,20,Common Thief,4475
1998,OAXACA,20,Cattle Thief,0
1998,OAXACA,20,Highway Thief,0
1998,OAXACA,20,Banking Thief,0
1998,PUEBLA,21,Household Crimes,7825
1998,PUEBLA,21,Rape,600
1998,PUEBLA,21,Homicides,1899
1998,PUEBLA,21,Injuries,11223
1998,PUEBLA,21,Other Crimes,10143
1998,PUEBLA,21,Kidnap,27
1998,PUEBLA,21,Common Thief,17442
1998,PUEBLA,21,Cattle Thief,0
1998,PUEBLA,21,Highway Thief,0
1998,PUEBLA,21,Banking Thief,4
1998,QUERETARO,22,Household Crimes,4829
1998,QUERETARO,22,Rape,228
1998,QUERETARO,22,Homicides,1075
1998,QUERETARO,22,Injuries,4173
1998,QUERETARO,22,Other Crimes,1469
1998,QUERETARO,22,Kidnap,5
1998,QUERETARO,22,Common Thief,7683
1998,QUERETARO,22,Cattle Thief,0
1998,QUERETARO,22,Highway Thief,0
1998,QUERETARO,22,Banking Thief,2
1998,QUINTANA ROO,23,Household Crimes,1764
1998,QUINTANA ROO,23,Rape,149
1998,QUINTANA ROO,23,Homicides,252
1998,QUINTANA ROO,23,Injuries,2354
1998,QUINTANA ROO,23,Other Crimes,3248
1998,QUINTANA ROO,23,Kidnap,7
1998,QUINTANA ROO,23,Common Thief,2732
1998,QUINTANA ROO,23,Cattle Thief,0
1998,QUINTANA ROO,23,Highway Thief,0
1998,QUINTANA ROO,23,Banking Thief,1
1998,SAN LUIS POTOSI,24,Household Crimes,5810
1998,SAN LUIS POTOSI,24,Rape,241
1998,SAN LUIS POTOSI,24,Homicides,510
1998,SAN LUIS POTOSI,24,Injuries,5643
1998,SAN LUIS POTOSI,24,Other Crimes,5393
1998,SAN LUIS POTOSI,24,Kidnap,0
1998,SAN LUIS POTOSI,24,Common Thief,7440
1998,SAN LUIS POTOSI,24,Cattle Thief,0
1998,SAN LUIS POTOSI,24,Highway Thief,0
1998,SAN LUIS POTOSI,24,Banking Thief,6
1998,SINALOA,25,Household Crimes,1945
1998,SINALOA,25,Rape,132
1998,SINALOA,25,Homicides,1182
1998,SINALOA,25,Injuries,2785
1998,SINALOA,25,Other Crimes,2501
1998,SINALOA,25,Kidnap,26
1998,SINALOA,25,Common Thief,10926
1998,SINALOA,25,Cattle Thief,0
1998,SINALOA,25,Highway Thief,0
1998,SINALOA,25,Banking Thief,23
1998,SONORA,26,Household Crimes,8162
1998,SONORA,26,Rape,327
1998,SONORA,26,Homicides,1159
1998,SONORA,26,Injuries,8508
1998,SONORA,26,Other Crimes,9594
1998,SONORA,26,Kidnap,6
1998,SONORA,26,Common Thief,20310
1998,SONORA,26,Cattle Thief,0
1998,SONORA,26,Highway Thief,0
1998,SONORA,26,Banking Thief,0
1998,TABASCO,27,Household Crimes,5638
1998,TABASCO,27,Rape,499
1998,TABASCO,27,Homicides,571
1998,TABASCO,27,Injuries,8482
1998,TABASCO,27,Other Crimes,3796
1998,TABASCO,27,Kidnap,76
1998,TABASCO,27,Common Thief,12084
1998,TABASCO,27,Cattle Thief,0
1998,TABASCO,27,Highway Thief,0
1998,TABASCO,27,Banking Thief,0
1998,TAMAULIPAS,28,Household Crimes,4568
1998,TAMAULIPAS,28,Rape,283
1998,TAMAULIPAS,28,Homicides,1060
1998,TAMAULIPAS,28,Injuries,6041
1998,TAMAULIPAS,28,Other Crimes,10151
1998,TAMAULIPAS,28,Kidnap,0
1998,TAMAULIPAS,28,Common Thief,15945
1998,TAMAULIPAS,28,Cattle Thief,0
1998,TAMAULIPAS,28,Highway Thief,0
1998,TAMAULIPAS,28,Banking Thief,26
1998,TLAXCALA,29,Household Crimes,1097
1998,TLAXCALA,29,Rape,154
1998,TLAXCALA,29,Homicides,120
1998,TLAXCALA,29,Injuries,1532
